Date,Open,High,Low,Close*,Volume
45807,23.48,23.62,23.16,23.49,56618600
45806,23.33,23.45,23.16,23.45,26210104
45805,23.61,23.64,23.11,23.18,36737200
45804,23.55,23.66,23.37,23.61,36155400
45800,22.95,23.39,22.88,23.32,35405400
45799,23.04,23.16,22.81,23.04,38602836
45798,23.47,23.48,23.04,23.04,42984721
45797,23.17,23.7,23.16,23.52,57047501
45796,22.74,23.03,22.64,23,31513700
45793,22.65,22.85,22.45,22.83,37786800
45792,22.2,22.6,22.09,22.6,51800100
45791,22.86,22.9,21.97,22.02,59394000
45790,22.9,22.98,22.49,22.87,41193234
45789,22.23,23.15,22.18,23.09,77480932
45786,22.51,22.6,22.26,22.28,39059800
45785,22.82,23.09,22.51,22.97,55669822
45784,22.99,23.09,22.72,22.79,48369889
45783,23.83,23.89,22.85,22.88,60872639
45782,24.2,24.25,23.85,23.87,40811811
45779,24.28,24.3,23.97,24.2,41685800
45778,24.3,24.33,23.8,23.93,46891740
45777,24.2,24.44,23.98,24.41,53941720
45776,22.83,24.12,22.46,23.79,98540200
45775,23.03,23.29,22.9,23.05,55888900
45772,22.77,23.11,22.48,22.92,35847700
45771,22.4,22.86,22.23,22.78,35009622
45770,22.78,23.06,22.24,22.36,50781008
45769,22.18,22.55,22.15,22.53,36052602
45768,22.13,22.17,21.87,22.04,32021006
45764,22.15,22.55,22.1,22.14,54072700
45763,22.49,22.68,21.95,22.04,37641200
45762,22.17,22.93,22.13,22.44,51814700
45761,22.08,22.23,21.87,22.12,61900900
45758,21.59,22,21.28,21.91,55078100
45757,22.26,22.27,21.09,21.59,72960700
45756,21.11,22.54,20.92,22.49,95954400
45755,22.9,22.99,21.44,21.84,72406019
45754,22.14,23.16,21.75,22.63,86106100
45751,23.94,24.1,22.95,22.97,80002600
45750,24.74,24.87,24.28,24.29,53501839
45749,24.5,24.74,24.31,24.7,41965000
45748,25.29,25.35,24.52,24.54,54444200
45747,24.8,25.43,24.61,25.34,53498113
45744,25.03,25.22,24.81,25.21,32352546
45743,25.2,25.23,24.83,25.01,51302022
45742,25.52,25.65,25.13,25.21,49578894
45741,26.16,26.2,25.51,25.55,47607600
45740,26.1,26.22,25.89,26.14,37944400
45737,26.13,26.52,26.01,26.28,349996520
45736,26.25,26.3,26.02,26.19,35378936
45735,26.33,26.5,26.08,26.21,42522707
45734,26.21,26.4,26.1,26.31,32958720
45733,25.74,26.15,25.59,26.05,32676900
45730,25.62,25.76,25.5,25.72,30298342
45729,25.76,26.07,25.53,25.6,36717900
45728,25.94,25.97,25.5,25.71,37331036
45727,26.57,26.62,25.87,25.99,44841410
45726,26.64,27.24,26.54,26.64,53013500
45723,26.4,26.89,26.18,26.73,54337700
45722,25.93,26.46,25.9,26.24,46998311
45721,25.7,26.18,25.66,25.94,37062400
